Quantity,Manufacturer Part Number,Description,Customer Reference
1,ESP32-S3-WROOM-1-N4,ESP32-S3 WiFi Module 4MB,Core Compute - Co-processor
1,BGT60TR13C,Infineon 60GHz Radar WLCSP,Display - Gesture Sensing
1,MAX98357AEWL+T,Maxim 3W I2S Class-D Amplifier,Audio - Speaker Amp
1,74AHCT125PW-118,Nexperia Quad Level Shifter,LEDs - Data Level Shift
1,ICM-45686,TDK InvenSense 6-axis IMU,Sensors - Motion
1,SHT45,Sensirion Temp/Humidity Sensor,Sensors - Environmental
1,VL53L8CXV0GC/1,ST 8x8 ToF Sensor,Sensors - Proximity
1,AS7343-DLGM,ams OSRAM 14-ch Spectral Sensor,Sensors - Light
1,AH49E,Diodes Inc Hall Effect Sensor,Sensors - Dock Detection
1,BQ25895RTWR,TI 5A Buck-Boost Charger,Power - Charge IC
1,BQ40Z50RSMR-R1,TI Smart Battery Fuel Gauge,Power - BMS
1,38M4050AA0606,Fair-Rite Ferrite Sheet 60x60mm,Power - EMI Shield
1,GST60A24-P1J,Mean Well 24V 60W Power Supply,Base Station - Power
1,ESP32-S3-WROOM-1-N8R8,ESP32-S3 WiFi Module 8MB/8MB,Base Station - Controller
1,IRS2011SPBF,Infineon Full-Bridge Driver,Base Station - TX Driver
1,PJ-002AH,CUI DC Barrel Jack 5.5x2.1mm,Base Station - Power Input
1,3595000541,Fair-Rite Ferrite Plate 150x100mm,Base Station - TX Shield
